Time,Open,High,Low,Latest,Change,%Change,Volume
9/24/24,481.8595,483.7194,477.5925,482.7646,2.3175,0.48%,26092661
9/25/24,482.138,485.1716,481.9589,483.2122,0.4476,0.09%,26693084
9/26/24,490.7216,491.0499,483.1923,486.8426,3.6304,0.75%,32193007
9/27/24,487.8671,488.0063,482.9536,484.1372,-2.7054,-0.56%,22974423
9/30/24,483.1724,485.7883,480.3278,485.4501,1.3129,0.27%,30494289
10/1/24,485.0821,485.3805,474.8374,478.6866,-6.7635,-1.39%,42966033
10/2/24,477.7815,481.2826,475.1557,479.363,0.6764,0.14%,23872140
10/3/24,477.1648,481.944,476.4188,479.0049,-0.3581,-0.07%,25473938
10/4/24,484.8334,485.2611,479.7956,484.7041,5.6992,1.19%,30910827
10/7/24,482.7845,483.9582,478.2888,479.5121,-5.192,-1.07%,25109890
10/8/24,482.0584,487.3598,481.2478,486.6735,7.1614,1.49%,28424579
10/9/24,486.3751,491.0797,485.3307,490.5028,3.8293,0.79%,25129795
10/10/24,488.2152,491.8157,486.9022,489.9458,-0.557,-0.11%,25889372
10/11/24,488.1058,491.7362,487.5388,490.7117,0.7659,0.16%,20755813
10/14/24,493.1088,496.1523,492.6015,494.8295,4.1178,0.84%,26200741
10/15/24,495.1577,495.8241,486.0568,488.2152,-6.6143,-1.34%,34972225
10/16/24,488.5434,489.0507,484.9528,488.2749,0.0597,0.01%,23120807
10/17/24,493.7752,493.8249,488.5534,488.613,0.3381,0.07%,27357452
10/18/24,491.408,492.9098,490.652,491.8157,3.2027,0.66%,25471732
10/21/24,490.6023,493.5663,488.6727,492.7606,0.9449,0.19%,30500226
10/22/24,490.0851,494.7748,489.3292,493.2977,0.5371,0.11%,26829821
10/23/24,490.9405,491.5969,482.4463,485.7385,-7.5592,-1.53%,39558848
10/24/24,489.4684,490.3536,486.8127,489.6773,3.9388,0.81%,22143764
10/25/24,492.4822,497.5946,491.776,492.6612,2.9839,0.61%,38971292
10/28/24,495.7843,495.844,492.4424,492.7407,0.0795,0.02%,20588216
10/29/24,493.059,498.6588,491.1991,497.4752,4.7345,0.96%,28165187
10/30/24,496.7093,497.6642,493.2281,493.7155,-3.7597,-0.76%,29916486
10/31/24,489.737,489.7867,481.1533,481.2527,-12.4628,-2.52%,41467800
11/1/24,482.8939,488.1164,482.5955,484.8135,3.5608,0.74%,33837335
11/4/24,484.2068,486.7531,481.6551,483.4012,-1.4123,-0.29%,23417198
11/5/24,484.9925,490.2343,484.903,489.5679,6.1667,1.28%,24485231
11/6/24,497.873,503.6916,496.9182,502.8661,13.2982,2.72%,43314606
11/7/24,505.671,511.5691,505.6113,510.7834,7.9173,1.57%,33030400
11/8/24,510.2761,512.1535,509.6594,511.3802,0.5968,0.12%,23048119
11/11/24,512.6035,512.8125,508.1775,511.0818,-0.2984,-0.06%,24297827
11/12/24,511.0122,511.8973,507.0933,510.1567,-0.9251,-0.18%,25974629
11/13/24,509.6495,512.2156,507.2127,509.5003,-0.6564,-0.13%,24699986
11/14/24,509.1621,510.0374,505.0443,505.9594,-3.5409,-0.69%,28834279
11/15/24,500.2403,500.6282,491.8356,493.9045,-12.0549,-2.38%,51738724
11/18/24,495.4561,499.4446,494.0636,497.3359,3.4314,0.69%,27339357
11/19/24,494.7499,501.2484,494.4117,500.7575,3.4216,0.69%,24655345
11/20/24,500.4591,500.7774,493.8896,500.469,-0.2885,-0.06%,29724964
11/21/24,503.5225,504.2387,494.8892,502.2693,1.8003,0.36%,34713039
11/22/24,501.7123,503.811,500.0811,503.075,0.8057,0.16%,23955187
11/25/24,507.1629,508.7071,501.5557,503.8707,0.7957,0.16%,26517508
11/26/24,505.3527,507.4016,504.5073,506.5761,2.7054,0.54%,26700383
11/27/24,505.4422,505.5118,499.2357,502.5876,-3.9885,-0.79%,25092091
11/29/24,503.2142,507.6005,502.5976,507.0038,4.4162,0.88%,15416653
12/2/24,508.267,513.4888,507.8791,512.524,5.5202,1.09%,25282813
12/3/24,511.1912,514.374,510.6143,514.0955,1.5715,0.31%,18698269
12/4/24,517.527,520.7098,516.8108,520.4512,6.3557,1.24%,26226986
12/5/24,520.5009,521.227,518.6211,519.009,-1.4422,-0.28%,18267658
12/6/24,519.6754,523.8926,519.546,523.6539,4.6449,0.89%,23890845
12/9/24,522.7289,523.5246,518.4221,519.576,-4.0779,-0.78%,20785974
12/10/24,520.8093,522.5598,516.3732,517.8054,-1.7706,-0.34%,24481414
12/11/24,522.1818,527.7617,521.7741,527.0754,9.27,1.79%,32342111
12/12/24,524.8474,526.1206,523.1964,523.6738,-3.4016,-0.65%,23704743
12/13/24,527.6126,530.3041,524.4696,527.6822,4.0084,0.77%,28935723
12/16/24,530.2185,536.2559,530.1389,535.2812,7.599,1.44%,32152388
12/17/24,533.4809,534.5949,531.2628,532.9239,-2.3573,-0.44%,28733235
12/18/24,532.2774,533.9981,512.2455,513.6976,-19.2263,-3.61%,54994410
12/19/24,518.3923,518.9591,511.0718,511.41,-2.2876,-0.45%,46692337
12/20/24,507.7,522.0028,506.5562,515.8759,4.4659,0.87%,60856566
12/23/24,517.5944,521.2805,514.1873,520.9019,5.026,0.97%,29784910
12/24/24,522.8545,528.0548,522.2169,527.9652,7.0633,1.36%,17624540
12/26/24,526.3314,529.2404,524.3289,527.6065,-0.3587,-0.07%,19213721
12/27/24,524.0301,524.4684,515.9107,520.593,-7.0135,-1.33%,33967357
12/30/24,513.5696,517.4051,509.9034,513.6692,-6.9238,-1.33%,34714669
12/31/24,514.9544,515.7115,508.3394,509.3057,-4.3635,-0.85%,29227013
1/2/25,512.3642,514.6953,503.8065,508.3095,-0.9962,-0.20%,36527187
1/3/25,511.4177,517.6894,510.6009,516.6281,8.3186,1.64%,29169290
1/6/25,522.0476,525.9329,520.0651,522.5656,5.9375,1.15%,36246130
1/7/25,523.6117,524.0102,511.348,513.2408,-9.3248,-1.78%,36828828
1/8/25,513.1413,514.9742,508.6482,513.3305,0.0897,0.02%,30893987
1/10/25,509.5548,509.6544,502.0232,505.2809,-8.0496,-1.57%,40685541
1/13/25,499.3135,504.1153,497.8191,503.657,-1.6239,-0.32%,31813951
1/14/25,506.8251,508.2348,499.702,503.1789,-0.4781,-0.09%,33864664
1/15/25,511.099,515.9008,509.5348,514.7552,11.5763,2.30%,35089575
1/16/25,517.0265,517.1061,511.0193,511.1488,-3.6064,-0.70%,28335653
1/17/25,520.8819,522.1007,511.1772,519.7761,8.6273,1.69%,52033760
1/21/25,522.5058,523.9902,518.1024,522.8246,3.0485,0.59%,23717173
1/22/25,527.5767,531.8107,527.2678,529.5094,6.6848,1.28%,33719820
1/23/25,527.0487,530.7547,526.4609,530.6352,1.1258,0.21%,23183761
1/24/25,531.0137,531.7808,526.1621,527.6364,-2.9988,-0.57%,19953306
1/27/25,509.0766,516.0402,508.2298,512.2745,-15.3619,-2.91%,61001214
1/28/25,513.2807,521.0314,509.8536,519.8459,7.5714,1.48%,33319216
1/29/25,520.4934,520.623,514.9531,518.8696,-0.9763,-0.19%,26749684
1/30/25,521.7387,524.1147,516.2595,521.0812,2.2116,0.43%,27534943
1/31/25,524.9366,529.5172,519.2282,520.3241,-0.7571,-0.15%,38992165
2/3/25,511.5373,518.8891,509.1264,516.1598,-4.1643,-0.80%,40734123
2/4/25,516.6779,523.1334,516.2793,522.4958,6.336,1.23%,26145113
2/5/25,519.8559,525.0263,518.6604,524.8669,2.3711,0.45%,21213850
2/6/25,525.375,527.8158,523.7624,527.6065,2.7396,0.52%,19507828
2/7/25,528.1446,530.0971,520.2245,520.9517,-6.6548,-1.26%,29717254
2/10/25,525.2355,528.3608,524.7673,527.2579,6.3062,1.21%,20931486
2/11/25,523.9803,527.9253,523.8508,526.0026,-1.2553,-0.24%,19398516
2/12/25,520.334,527.1981,519.9854,526.3114,0.3088,0.06%,25103793
2/13/25,527.9851,534.2016,527.1981,533.8829,7.5715,1.44%,28823292
2/14/25,533.9925,536.8118,533.6537,536.1244,2.2415,0.42%,17929989
2/18/25,537.6984,537.9674,534.0223,537.3398,1.2154,0.23%,20642700
2/19/25,536.5428,538.7744,534.4408,537.4892,0.1494,0.03%,19741108
2/20/25,536.7022,537.0708,530.4558,535.2078,-2.2814,-0.42%,26651014
2/21/25,536.3535,536.3734,523.7312,524.0998,-11.108,-2.08%,47271637
2/24/25,525.893,527.0775,517.5745,517.9132,-6.1866,-1.18%,39416663
2/25/25,517.2855,517.3653,507.5225,511.3878,-6.5254,-1.26%,49124916
2/26/25,513.5896,517.7039,509.4452,512.6232,1.2354,0.24%,34587786
2/27/25,516.1797,517.1161,498.1678,498.387,-14.2362,-2.78%,52646056
2/28/25,498.2475,506.8649,495.0595,506.2572,7.8702,1.58%,47834053
3/3/25,509.5946,511.1089,491.7221,495.1791,-11.0781,-2.19%,44754054
3/4/25,492.3199,501.8439,485.8991,493.6847,-1.4944,-0.30%,68131854
3/5/25,494.3323,501.7343,489.4109,500.1204,6.4357,1.30%,46498724
3/6/25,491.8317,496.7033,484.3699,486.3624,-13.758,-2.75%,57791832
3/7/25,485.3263,491.4233,478.7213,489.9389,3.5765,0.74%,54996580
3/10/25,481.6303,482.1483,466.896,470.9506,-18.9883,-3.88%,76957676
3/11/25,470.5721,477.0027,465.2522,469.8249,-1.1257,-0.24%,69020499
3/12/25,477.3564,479.2493,470.0142,475.1249,5.3,1.13%,47148462
3/13/25,474.4574,474.4874,464.6743,466.5771,-8.5478,-1.80%,46739235
3/14/25,471.9469,478.7512,471.3392,477.8545,11.2774,2.42%,43727596
3/17/25,477.8047,484.0113,476.0015,480.9528,3.0983,0.65%,41902024
3/18/25,477.6055,477.8047,470.6318,472.7538,-8.199,-1.70%,39219825
3/19/25,475.0153,483.5032,473.0826,479.0799,6.3261,1.34%,40583060
3/20/25,475.085,482.7261,474.3876,477.456,-1.6239,-0.34%,36919471
3/21/25,472.2955,479.7972,471.125,479.0301,1.5741,0.33%,42394374
3/24/25,486.6287,490.3902,483.2964,489.5421,10.512,2.19%,34646035
3/25/25,490.2704,492.4953,489.3026,492.3357,2.7936,0.57%,26094653
3/26/25,491.1783,492.0364,481.72,483.2764,-9.0593,-1.84%,35123324
3/27/25,481.3109,485.4713,479.1558,480.5227,-2.7537,-0.57%,33546229
3/28/25,478.7168,479.4252,466.9836,467.8716,-12.6511,-2.63%,46469672
3/31/25,460.8676,468.7895,456.288,467.8516,-0.02,0.00%,53121336
4/1/25,466.2353,472.5509,463.3619,471.623,3.7714,0.81%,41250185
4/2/25,465.058,478.4674,464.7986,475.0651,3.4421,0.73%,50003233
4/3/25,455.4,459.0218,449.1144,449.6332,-25.4319,-5.35%,70617198
4/4/25,437.1417,439.3667,421.707,421.707,-27.9262,-6.21%,117355785
4/7/25,407.7289,442.1304,401.4732,422.7247,1.0177,0.24%,161920108
4/8/25,437.1617,442.1304,408.8563,415.112,-7.6127,-1.80%,101476507
4/9/25,414.6232,466.7641,414.4835,464.9383,49.8263,12.00%,143203069
4/10/25,452.5266,454.552,431.6443,445.1634,-19.7749,-4.25%,108628301
4/11/25,443.6369,454.7516,440.3245,453.3647,8.2013,1.84%,52603553
4/14/25,463.4018,463.9904,451.5987,456.4377,3.073,0.68%,44041441
4/15/25,457.4953,461.3265,455.1107,456.9465,0.5088,0.11%,35485050
4/16/25,448.0069,451.5887,436.7626,443.168,-13.7785,-3.02%,49092348
4/17/25,446.1512,446.7299,440.3544,443.0882,-0.0798,-0.02%,44939387
4/21/25,437.2316,438.0796,426.955,432.1232,-10.965,-2.47%,44250117
4/22/25,437.8202,446.5602,436.6229,443.4673,11.3441,2.63%,52423542
4/23/25,457.1261,462.3242,451.8482,453.5243,10.057,2.27%,55928529
4/24/25,455.44,466.5945,454.7914,466.2852,12.7609,2.81%,46061044
4/25/25,465.9061,472.0121,464.3297,471.4833,5.1981,1.11%,38785367
4/28/25,471.9523,473.7262,464.9682,471.3337,-0.1496,-0.03%,33627312
4/29/25,469.0988,475.3388,468.5201,474.4466,3.1129,0.66%,30683004
4/30/25,466.0657,476.1128,461.3764,474.3867,-0.0599,-0.01%,46917495
5/1/25,482.3086,486.07,479.6447,480.5825,6.1958,1.31%,43415423
5/2/25,485.4315,489.7915,483.7254,487.7162,7.1337,1.48%,39307563
5/5/25,483.4959,487.9158,482.997,484.8228,-2.8934,-0.59%,28374048
5/6/25,478.4674,483.9448,477.1005,480.3132,-4.5096,-0.93%,32860565
5/7/25,480.9816,484.6931,475.6957,482.1988,1.8856,0.39%,38196833
5/8/25,487.4169,491.5774,483.0669,487.1775,4.9787,1.03%,39667880
5/9/25,489.0931,490.4201,485.0873,486.8582,-0.3193,-0.07%,27830810
5/12/25,505.8349,506.7328,500.3374,506.6929,19.8347,4.07%,45193570
5/13/25,507.9999,516.2112,507.2616,514.4153,7.7224,1.52%,53391147
5/14/25,515.5926,518.0449,514.5749,517.4983,3.083,0.60%,47121857
5/15/25,515.3432,520.7408,513.9962,518.0669,0.5686,0.11%,50267733
5/16/25,519.4737,520.5114,515.9218,520.3218,2.2549,0.44%,48505115
5/19/25,513.0683,521.3395,513.0683,520.8206,0.4988,0.10%,52656077
5/20/25,518.2864,519.7431,515.4828,519.0846,-1.736,-0.33%,42614597
5/21/25,515.0938,521.8084,510.0752,511.8711,-7.2135,-1.39%,71455598
5/22/25,512.4896,516.5305,511.1328,512.8289,0.9578,0.19%,55734083
5/23/25,505.0267,510.6738,504.4281,508.0797,-4.7492,-0.93%,58501293
5/27/25,514.974,520.5214,513.4176,520.0324,11.9527,2.35%,47334147
